"time","x","y"
0,40,9
1,35.8857228829483,11.9189792708043
2,30.2896697009776,15.0283850909463
3,24.0744235748525,17.8472716919807
4,18.2074296467541,19.9380659075051
5,13.3280383505643,21.1015429435035
6,9.61767665680238,21.3942748676022
7,6.94892948590855,21.0138798984111
8,5.08373741773434,20.1817546690514
9,3.79272719724591,19.0823918088981
10,2.89687220800839,17.8489602497478
11,2.26917954205852,16.569994824284
12,1.82350142316024,15.301219160203
13,1.50242141550569,14.0760740808268
14,1.26781889874716,12.9134282718535
15,1.0942383457848,11.8228654704029
16,0.964520428910846,10.8081254890662
17,0.866950272608061,9.86933626803624
18,0.793428955291044,9.00443436123178
19,0.738287165739855,8.21007722263345
20,0.697509898781046,7.48222874265155
21,0.66822754264426,6.81653170088259
22,0.648375725843845,6.20854553445569
23,0.636465991583088,5.65389545705601
24,0.631429585674563,5.14836357469235
25,0.632509396116604,4.68794246985327
26,0.639184233530006,4.26886408442598
27,0.651116188467288,3.88761167136915
28,0.668113262242003,3.54092143367154
29,0.690103005066994,3.22577720621222
30,0.717113984022836,2.93940090440399
31,0.749262990160717,2.67924040693797
32,0.786746441190124,2.44295611256864
33,0.829835021243249,2.22840689810524
34,0.878870798611405,2.03363604990536
35,0.934266326350363,1.85685750405587
36,0.996505374614315,1.69644261747181
37,1.06614504927261,1.5509076092869
38,1.1438191325119,1.4189017467702
39,1.23024253835049,1.29919631174836
40,1.32621681959722,1.19067435450225
41,1.43263669599101,1.09232122364749
42,1.55049759896986,1.00321584866265
43,1.68090424883793,0.922522744523673
44,1.82508029633535,0.849484704290139
45,1.98437907363833,0.783416144392814
46,2.16029551013354,0.723697068230837
47,2.35447927610591,0.669767616093806
48,2.56874922265541,0.621123173154969
49,2.80510918831809,0.5773100122725
50,3.06576524126434,0.537921454659971
51,3.35314441941021,0.502594539373706
52,3.66991501756334,0.471007202421655
53,4.0190084483177,0.442875978763989
54,4.40364266821537,0.417954256498565
55,4.82734710757326,0.396031133490878
56,5.29398896398389,0.376930954633188
57,5.80780060527533,0.360513645739279
58,6.3734076623512,0.346676012109973
59,6.99585715348045,0.335354242415353
60,7.68064463634086,0.326527961250096
61,8.43373888345428,0.320226320879021
62,9.26160184697324,0.316536836162667
63,10.1712006082889,0.315617980093896
64,11.1700064250189,0.317717023149024
65,12.2659736263201,0.32319530007628
66,13.4674875496071,0.332564153502863
67,14.7832652963511,0.346536444237964
68,16.2221847549989,0.366101071468915
69,17.7930043949618,0.392631960955956
70,19.5039160309667,0.428049347804154
71,21.3618406635109,0.47506134481255
72,23.3713265544161,0.537530041651607
73,25.5328279356014,0.621032234252097
74,27.8400236475134,0.733722912439284
75,30.2756000256289,0.887683533354604
76,32.8047551382282,1.10098563629604
77,35.3652066188314,1.40083153804513
78,37.8524244328939,1.82809118061086
79,40.0992748510887,2.44322854302757
80,41.8523268580974,3.3321555919074
81,42.7557769623715,4.6068257478876
82,42.3720790571667,6.38810462865447
83,40.2885132566982,8.75200885086388
84,36.3393668575876,11.6339934134984
85,30.8499398107508,14.7445986176604
86,24.6492881159374,17.6113128797466
87,18.7159724266105,19.7823640407375
88,13.7309620654546,21.0326911005094
89,9.91447278403958,21.3989734072056
90,7.15867551833255,21.0713840508355
91,5.2292787337068,20.272589310186
92,3.89343883522867,19.1916199529369
93,2.96703486473738,17.9662855378377
94,2.3186454276309,16.6887752518749
95,1.85886898819809,15.4173760817076
96,1.52808115718729,14.1872158180954
97,1.28668894262144,13.0182618337901
98,1.10827724853307,11.92078919429
99,0.975053682493461,10.8989729474495
100,0.87488899822847,9.95320528651041
101,0.799407356062997,9.08158088980955
102,0.742750731202772,8.28084805392004
103,0.700776950818834,7.54701543979373
104,0.670526036595692,6.87574446571064
105,0.649869906340904,6.26259498497836
106,0.637274154611044,5.70318158099987
107,0.631636564771409,5.1932688810345
108,0.632174535349197,4.72882864426901
109,0.638347513607743,4.30606988776072
110,0.649802363563426,3.92145239051835
111,0.666334813715789,3.5716890484533
112,0.687862197733972,3.25374111051246
113,0.714404361043505,2.96480888207656
114,0.746070323730041,2.70231986562153
115,0.783049393762296,2.46391534721531
116,0.825605528836975,2.2474364020188
117,0.874074248115829,2.05090981098563
118,0.928861567011777,1.87253425869705
119,0.99044458932011,1.71066705072123
120,1.05937350542168,1.56381148798797
121,1.13627482491803,1.43060498196322
122,1.2218557320607,1.30980794812977
123,1.31690949701069,1.20029348712465
124,1.42232190990873,1.10103784358835
125,1.53907873107687,1.01111162014221
126,1.66827417142806,0.929671716512257
127,1.81112043372553,0.855953959846791
128,1.96895835863234,0.789266390990391
129,2.14326923004465,0.728983172176212
130,2.33568780223127,0.674539083869887
131,2.54801661673279,0.625424582113773
132,2.78224167943783,0.581181392592624
133,3.04054956704209,0.541398623835487
134,3.32534602607861,0.505709389696356
135,3.63927611520292,0.473787940907943
136,3.98524591999273,0.445347317692559
137,4.3664458356966,0.420137551057482
138,4.78637536217387,0.397944460837769
139,5.24886927960336,0.378589125723827
140,5.75812496318728,0.361928137260861
141,6.31873043525629,0.347854800291095
142,6.93569252232133,0.336301512673595
143,7.61446415096257,0.327243656527613
144,8.36096933280107,0.320705475513093
145,9.18162368430354,0.316768618803171
146,10.0833472943199,0.315584334742469
147,11.0735652261845,0.317390745963042
148,12.1601886663719,0.322537311852455
149,13.3515663077486,0.331519608902684
150,14.6563903489087,0.345029134999949
151,16.0835334904682,0.364025293475519
152,17.6417808878687,0.38984056135316
153,19.3394015514607,0.42433594652076
154,21.1834729305571,0.470133570770963
155,23.1788236079311,0.530968779776659
156,25.3263816210797,0.612228960253843
157,27.6206019458175,0.721782666192937
158,30.0454177612184,0.871274786945384
159,32.568003778973,1.07810922334366
160,35.1291593214953,1.36847560518442
161,37.6290367211029,1.78174706127298
162,39.9072915807919,2.37629997831743
163,41.7193895211149,3.23553620462658
164,42.7190201320178,4.46931278032458
165,42.4734391669704,6.19922797856892
166,40.55993805457,8.50896452655067
167,36.7785934989693,11.3514250904176
168,31.4031141418552,14.458980445151
169,25.2259038710674,17.3693660622471
170,19.2323784288839,19.6185970235917
171,14.1437113097117,20.9560558615074
172,10.2201486360356,21.3975400813812
173,7.37530030792205,21.1246696642456
174,5.37973843002019,20.3608189416681
175,3.99752746467154,19.2994182710713
176,3.03948062537846,18.0829716194273
177,2.36965423090077,16.8074197530624
178,1.89529152663773,15.5337011163003
179,1.55446985154708,14.2987074836438
180,1.3060706032954,13.1235450243121
181,1.12267995005776,12.0192114935569
182,0.985851180831675,10.9903339635619
183,0.883024109277172,10.03758212467
184,0.805535045120762,9.15921754109152
185,0.747332002479189,8.35208333589695
186,0.704138463214074,7.6122384667422
187,0.672902408834548,6.93536396971094
188,0.651430389076001,6.31702129263969
189,0.638140896919338,5.75281517249423
190,0.631896691146802,5.23849379250481
191,0.63188926709632,4.77000809054017
192,0.637558294624369,4.34354433264143
193,0.648535144880073,3.95553882512801
194,0.664603074856657,3.60268114789074
195,0.685669098151805,3.2819098840541
196,0.711744197263242,2.99040370014059
197,0.742929576627689,2.72556961595193
198,0.779407400293271,2.4850297137449
199,0.821434885986902,2.26660717345161
200,0.869341007790989,2.06831217507094
